nomclient,venteestimesupport2021,venteestimesupport2022,venteestimesupport2023,ventehorssupport2021,ventehorssupport2022,ventehorssupport2023,ventehorssupport202,dealconclusupport,VenteConclusupport2021,VenteConclusupport2022,VenteConclusupport2023,Upsale,Crossale,Nombre_Employe,OpenDeals,Secteur_Activite,DealConclu2021,DealConclu2022,DealConclu2023,Moved,Technologie,Support2023,annéedernierContact,moisdernierContact,annéeCreation,moisCreation,Support02021,nbredealsupport02021,Support02022,nbredealsupport02022,Support02023,nbredealsupport02023,Support12021,nbredealsupport12021,Support12022,nbredealsupport12022,Support12023,nbredealsupport12023,Support22021,nbredealsupport22021,Support22022,nbredealsupport22022,Support22023,nbredealsupport22023,Support32021,nbredealsupport32021,Support32022,nbredealsupport32022,Support32023,nbredealsupport32023,predicted,predictedsupport1,predictedsupport2,predictedUpsale
École nationale d'administration,0.0,0.0,0.0,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100,1,16,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,3.0,2021,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3NSECURE,0.0,0.0,0.0,0.0,22500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,1,55,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,11.0,2022,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABG,4396.0,0.0,0.0,0.0,4396.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,1,74,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,12.0,2022,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABSnetwork,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10,1,55,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,11.0,2022,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACEP Burkina,0.0,0.0,6720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100,1,74,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,6.0,2023,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACS CONSULTING,0.0,0.0,0.0,0.0,1953.76,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,2,74,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,12.0,2022,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACS Maroc,0.0,25318.32,32900.0,0.0,0.0,0.0,0.0,0.1818181818181818,0.0,25318.32,32900.0,1,1,50,11,74,0.0,1.0,1.0,1.0,228670005.0,1,2023.0,4.0,2022,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1
ACTIA,0.0,22635.0,116700.0,4795.2,22635.0,127230.0,0.0,0.1,0.0,3600.0,0.0,0,1,895,10,55,0.0,1.0,0.0,0.0,228670004.0,0,2023.0,3.0,2021,12,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ADD IN,3750.0,20418.66,307345.0,3950.0,22798.31,0.0,0.0,0.3,3750.0,15276.84,0.0,1,1,100,10,55,1.0,2.0,0.0,0.0,228670012.0,0,2023.0,4.0,2021,9,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AFC,0.0,5400.6,2700.0,6700.0,9962.76,9604.8,0.0,0.2,0.0,5400.6,2700.0,0,1,392,10,65,0.0,1.0,1.0,0.0,228670012.0,1,2023.0,4.0,2021,7,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AGENCE FONCIERE D'HABITATION,0.0,0.0,0.0,25500.0,0.0,26400.0,0.0,0.0,0.0,0.0,0.0,0,0,150,2,11,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,3.0,2021,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL BARAKA BANK TUNISIA,17485.07,33495.65,36409.17,390787.65,487170.22,172177.5,0.0,0.2083333333333333,17485.07,33495.65,7875.0,1,1,600,24,65,2.0,2.0,1.0,1.0,228670012.0,1,2023.0,12.0,2021,7,0,0,1,1,1,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
AL HURRA TV,0.0,0.0,0.0,0.0,10402.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100,1,8,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,11.0,2022,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALIOS TUNISIE,0.0,45378.64,96390.0,107903.05,70411.81000000001,75513.6,0.0,0.1111111111111111,0.0,45378.64,0.0,1,1,259,18,65,0.0,2.0,0.0,0.0,228670012.0,0,2023.0,6.0,2021,7,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AMECAP,0.0,0.0,19070.0,0.0,4506.0,19070.0,0.0,0.0,0.0,0.0,0.0,0,1,50,4,59,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,3.0,2022,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMEN BANQUE,0.0,25542.0,7200.0,0.0,7045.0,0.0,0.0,0.1666666666666666,0.0,14950.0,0.0,1,1,3000,6,65,0.0,1.0,0.0,0.0,228670012.0,0,2023.0,3.0,2021,11,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMEN CAPITAL,0.0,0.0,0.0,0.0,2870.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,1,65,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,4.0,2022,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANSI,10000.0,2500.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2500.0,2500.0,0,0,50,3,55,2.0,1.0,0.0,0.0,228670012.0,0,2022.0,12.0,2021,11,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APIA,0.0,0.0,0.0,0.0,0.0,11850.0,0.0,0.0,0.0,0.0,0.0,0,0,300,1,74,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,3.0,2023,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARC EN CIEL,0.0,6320.0,0.0,0.0,6320.0,0.0,0.0,0.5,0.0,1400.0,0.0,0,1,20,2,74,0.0,1.0,0.0,0.0,228670004.0,0,2022.0,9.0,2022,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIMED,0.0,509371.44,447371.44,48787.21,3631863.589999999,3484060.04,0.0,0.0612244897959183,0.0,59000.0,0.0,1,1,200,49,55,0.0,3.0,0.0,0.0,228670012.0,0,2023.0,12.0,2021,12,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ASSURANCE LACARTE,12000.0,228250.0,0.0,7862.0,686265.0,20000.0,0.0,0.1,600.0,600.0,0.0,0,1,200,10,65,0.0,1.0,0.0,0.0,228670004.0,0,2023.0,4.0,2021,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSURANCES AMI,21307.5,304797.9,0.0,23758.0,649120.0,51160.8,0.0,0.0,19807.5,13997.9,0.0,1,1,243,24,65,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,3.0,2021,7,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSURANCES GAT,27718.12,357493.53,223500.0,380538.95,765871.8300000001,649032.12,0.0,0.3018867924528302,0.0,67070.53,43500.0,1,1,380,53,65,4.0,8.0,4.0,1.0,228670004.0,1,2023.0,12.0,2021,7,1,4,1,6,1,2,0,0,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ASSURANCES MAGHREBIA,0.0,3500.0,60000.0,0.0,0.0,64560.0,0.0,0.25,0.0,3500.0,0.0,0,1,498,4,65,0.0,1.0,0.0,0.0,228670004.0,0,2023.0,3.0,2022,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASTEEL FLASH,0.0,0.0,0.0,48630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5000,1,59,0.0,0.0,0.0,0.0,228670012.0,0,2021.0,11.0,2021,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASTRE ASSURANCES,0.0,0.0,0.0,100000.0,96740.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,206,2,65,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,11.0,2021,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATB,61984.0,29100.0,17100.0,604364.46,296396.44,245653.19,0.0,0.1333333333333333,61984.0,9900.0,0.0,1,1,1000,15,65,1.0,1.0,0.0,1.0,228670012.0,0,2023.0,9.0,2021,7,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ATD SICAR,5100.0,10300.6,2450.0,4946.96,41033.22,33782.81999999999,0.0,0.28,5100.0,5200.6,2450.0,1,1,1000,25,65,3.0,3.0,1.0,1.0,228670012.0,1,2023.0,3.0,2021,7,1,2,1,1,0,0,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
